sample,group,treat,sex,age,cage,cage
GP126-4,young NT,control,F,6,1,1
GP126-3,Young NT,control,F,6,1,1
GP126-5,Young NT,control,F,6,1,1
GP128-1,Young NT,control,M,6,2,2
GP129-5,Young NT,control,M,6,3,3
GP128-4,Young NT,control,M,6,2,2
GP114-3,Aged NT,control,F,25,4,4
GP131-2,Aged NT,control,F,26,5,5
GP110-1,Aged NT,control,F,26,6,6
GP112-4,Aged NT,control,M,26,7,7
GP117-2,Aged NT,control,M,25,8,8
GP112-5,Aged NT,control,M,26,7,7
GP122-2,Young ELAM,ELAM,F,7,9,9
GP122-3,Young ELAM,ELAM,F,7,9,9
GP123-1,Young ELAM,ELAM,F,7,10,10
GP125-5,Young ELAM,ELAM,M,7,11,11
GP124-4,Young ELAM,ELAM,M,7,12,12
GP125-3,Young ELAM,ELAM,M,7,11,11
GP130-2,Aged ELAM,ELAM,F,26,13,13
GP130-4,Aged ELAM,ELAM,F,26,13,13
GP130-3,Aged ELAM,ELAM,F,26,13,13
GP113-4,Aged ELAM,ELAM,M,26,14,14
GP117-1,Aged ELAM,ELAM,M,25,8,8
GP115-5,Aged ELAM,ELAM,M,25,15,15
