"","GP113-4","GP117-1","GP126-5","GP126-4","GP126-3","GP128-4","GP129-5","GP130-4","GP130-3","GP130-2","resub-GP115-5","resub-GP128-1"
"ENSMUSG00000102693",0,3,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000064842",0,1,0,0,0,0,0,10,0,0,0,0
"ENSMUSG00000051951",209,169,341,213,198,149,221,118,203,200,148,203
"ENSMUSG00000102851",8,2,0,5,3,2,1,0,0,7,1,1
"ENSMUSG00000103377",52,39,19,60,38,10,26,39,47,102,28,50
"ENSMUSG00000104017",40,17,10,35,14,6,10,30,27,58,27,25
"ENSMUSG00000103025",9,8,5,10,15,1,2,9,10,6,3,9
"ENSMUSG00000089699",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000103201",35,21,14,18,17,4,14,35,22,20,20,19
"ENSMUSG00000103147",16,6,6,9,1,1,1,7,5,9,0,7
"ENSMUSG00000103161",33,17,6,27,14,24,13,25,25,40,16,27
"ENSMUSG00000102331",43,40,19,43,29,29,21,36,37,41,38,48
"ENSMUSG00000102348",0,2,7,0,2,0,2,2,1,0,0,0
"ENSMUSG00000102592",0,3,0,0,0,1,2,8,0,1,0,0
"ENSMUSG00000088333",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343",0,5,0,0,4,0,9,4,0,3,0,1
"ENSMUSG00000025900",5,294,12,7,15,64,85,30,32,41,7,18
"ENSMUSG00000102948",1,9,0,0,0,2,4,12,0,4,0,2
"ENSMUSG00000104123",0,5,0,0,1,0,3,7,0,3,0,0
"ENSMUSG00000025902",261,253,259,304,263,391,408,444,245,288,357,298
"ENSMUSG00000104238",8,12,18,23,31,18,13,22,12,6,17,19
"ENSMUSG00000102269",15,7,22,44,32,20,20,19,3,8,11,49
"ENSMUSG00000096126",3,1,5,1,6,1,5,7,0,1,3,1
"ENSMUSG00000103003",0,1,1,3,0,0,0,1,0,0,0,0
"ENSMUSG00000104328",7,4,12,11,7,9,8,9,1,6,1,8
"ENSMUSG00000102735",2,0,4,3,1,0,1,6,0,2,1,1
"ENSMUSG00000098104",12,9,4,6,2,10,18,9,8,9,9,6
"ENSMUSG00000102175",8,4,1,2,1,2,5,9,5,5,4,2
"ENSMUSG00000088000",2,4,0,1,0,0,2,0,2,0,6,0
"ENSMUSG00000103265",6,0,2,3,2,1,3,12,7,3,2,3
"ENSMUSG00000103922",23,27,13,39,26,38,36,33,22,25,43,15
"ENSMUSG00000033845",568,691,746,804,864,946,1039,795,745,533,1077,477
"ENSMUSG00000102275",47,54,17,62,37,61,38,62,33,44,56,48
"ENSMUSG00000025903",870,1491,1948,1536,1444,1852,2066,1289,1216,950,2164,930
"ENSMUSG00000104217",6,1,6,2,4,5,5,2,1,3,11,3
"ENSMUSG00000033813",897,1124,1944,1159,1127,1139,1194,1087,1100,987,1328,1005
"ENSMUSG00000062588",16,14,4,20,16,21,15,12,27,27,15,43
"ENSMUSG00000103280",40,19,9,37,22,13,22,37,16,20,15,20
"ENSMUSG00000002459",8,17,6,7,10,11,22,36,25,11,35,10
"ENSMUSG00000091305",2,0,0,0,0,0,3,3,0,1,0,0
"ENSMUSG00000102653",4,7,0,2,0,1,1,3,3,2,3,0
"ENSMUSG00000085623",7,10,1,3,2,0,11,24,1,12,3,4
"ENSMUSG00000091665",0,0,0,0,0,0,2,7,0,0,0,0
"ENSMUSG00000033793",942,1015,1347,1088,966,1286,1047,1135,911,865,1267,893
"ENSMUSG00000104352",0,1,0,0,0,0,0,0,1,1,0,1
"ENSMUSG00000104046",0,2,0,0,0,0,7,4,0,3,0,0
"ENSMUSG00000102907",2,0,0,0,2,0,4,7,0,3,0,1
"ENSMUSG00000025905",1,5,0,0,9,3,11,31,1,14,0,4
"ENSMUSG00000103936",0,1,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103519",0,5,0,0,0,0,1,10,0,0,0,4
"ENSMUSG00000033774",0,4,0,1,1,0,4,22,0,5,0,2
"ENSMUSG00000103090",0,2,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000025907",2645,2746,2802,2785,2562,2905,2625,3088,2691,2103,3413,2501
"ENSMUSG00000090031",483,562,184,703,437,610,439,537,468,492,935,457
"ENSMUSG00000087247",0,17,0,0,0,0,2,6,0,0,0,5
"ENSMUSG00000103355",0,3,0,2,0,0,2,2,0,0,0,1
"ENSMUSG00000102706",0,0,0,0,3,0,0,2,0,0,0,0
"ENSMUSG00000103845",1,13,1,1,3,0,2,14,0,3,1,7
"ENSMUSG00000033740",10,14,2,1,3,3,12,40,5,13,6,10
"ENSMUSG00000103329",0,6,0,0,2,0,3,8,0,4,0,6
"ENSMUSG00000104385",0,2,0,0,0,0,0,12,0,0,0,0
"ENSMUSG00000102135",1,1,0,0,0,0,6,10,0,0,2,5
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,2,0,1,0,0,0,0,0
"ENSMUSG00000103629",0,5,0,0,0,0,4,4,0,6,2,0
"ENSMUSG00000051285",3212,3384,4844,3638,3666,3788,3962,5378,3795,2698,4952,2954
"ENSMUSG00000098201",63,64,27,72,64,70,51,123,60,48,81,55
"ENSMUSG00000103509",803,467,311,603,498,510,402,975,582,562,739,663
"ENSMUSG00000048538",7,1,5,4,9,2,5,18,8,7,2,3
"ENSMUSG00000103709",0,1,0,1,0,0,1,5,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,5,0,0,0,0
"ENSMUSG00000097797",17,33,10,28,28,20,16,31,24,31,22,12
"ENSMUSG00000103498",0,0,0,0,2,0,2,2,0,4,0,1
"ENSMUSG00000103067",0,5,0,0,0,0,6,15,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,1,10,0,1,0,1
"ENSMUSG00000103903",0,0,0,0,0,0,4,1,0,1,0,0
"ENSMUSG00000103557",0,1,0,0,0,0,8,5,0,5,1,0
"ENSMUSG00000025909",248,130,33,58,31,112,72,336,290,242,297,43
"ENSMUSG00000102647",3,2,0,0,1,2,9,11,4,10,11,0
"ENSMUSG00000086235",0,2,0,0,0,0,4,3,6,1,2,9
"ENSMUSG00000102253",8,16,0,0,3,8,11,24,26,10,14,3
"ENSMUSG00000093970",0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000103884",5,9,0,1,2,2,3,8,12,5,10,2
"ENSMUSG00000084353",1,0,0,0,2,1,0,1,2,0,0,0
"ENSMUSG00000103933",2,1,1,0,0,1,0,1,2,0,1,2
"ENSMUSG00000076135",0,1,0,0,0,0,0,2,4,0,2,1
"ENSMUSG00000086195",1,2,0,0,0,0,7,5,0,1,1,0
"ENSMUSG00000104504",0,1,0,0,0,0,0,17,0,2,1,0
"ENSMUSG00000066693",20,5,0,3,3,3,2,16,3,5,8,1
"ENSMUSG00000102316",12,10,1,7,3,3,8,32,23,9,26,2
"ENSMUSG00000103819",9,2,0,4,1,2,1,5,6,3,5,3
"ENSMUSG00000102871",46,29,5,18,5,1,14,69,74,46,42,1
"ENSMUSG00000101571",0,1,0,0,0,0,1,13,0,0,1,0
"ENSMUSG00000104428",1,3,2,0,2,4,1,2,1,1,1,3
"ENSMUSG00000102272",3,2,0,1,5,5,3,8,9,3,17,1
"ENSMUSG00000065625",0,3,0,0,0,3,0,6,2,6,6,1
"ENSMUSG00000103411",27,50,14,60,46,44,43,98,42,35,122,50
"ENSMUSG00000061024",142,161,211,153,169,241,222,225,213,108,195,161
"ENSMUSG00000025911",2105,1745,1184,2472,3159,2793,3542,4102,2464,1332,4038,1305
"ENSMUSG00000079671",304,170,49,160,177,171,185,433,269,142,323,251
"ENSMUSG00000081441",22,13,5,18,16,19,18,30,25,21,27,7
"ENSMUSG00000067879",45,27,10,20,33,29,43,46,68,27,47,27
"ENSMUSG00000099827",0,6,1,0,1,0,3,7,1,3,0,4
"ENSMUSG00000025912",113,125,316,136,140,134,111,124,117,111,112,135
"ENSMUSG00000045210",1416,1564,3045,1705,1758,1665,1789,1729,1734,1366,1755,1571
"ENSMUSG00000097893",12,10,14,11,13,16,17,21,8,7,15,10
"ENSMUSG00000025915",909,974,737,719,666,789,765,1073,1029,813,1075,685
"ENSMUSG00000046334",8,9,0,10,5,3,2,3,5,7,5,4
"ENSMUSG00000088916",9,9,4,20,8,9,6,7,15,9,14,14
"ENSMUSG00000046101",29,50,37,48,69,53,43,76,51,50,46,31
"ENSMUSG00000098234",47,46,60,70,74,63,59,70,30,31,61,54
"ENSMUSG00000093178",14,16,9,7,21,25,13,7,17,12,16,14
"ENSMUSG00000099032",38,48,44,11,23,31,21,28,61,49,30,30
"ENSMUSG00000104025",0,1,0,0,0,0,2,5,0,0,0,1
"ENSMUSG00000025916",1,21,0,0,2,3,12,22,1,3,1,3
"ENSMUSG00000087199",0,1,0,0,0,0,1,4,0,2,0,3
"ENSMUSG00000095780",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000025917",559,581,926,676,656,662,802,616,570,492,752,585
"ENSMUSG00000056763",1423,1573,807,1345,1142,1298,950,1281,1336,1223,1478,1226
"ENSMUSG00000102356",8,15,5,14,14,14,8,13,23,8,11,13
"ENSMUSG00000067851",3037,3482,3866,3272,3297,3863,3964,3452,3420,2665,3849,2734
"ENSMUSG00000088153",33,34,7,42,28,28,22,45,23,27,20,21
"ENSMUSG00000102556",79,60,34,81,48,72,29,65,30,62,56,48
"ENSMUSG00000042501",0,13,1,0,1,1,11,18,1,6,0,10
"ENSMUSG00000103810",0,6,0,0,0,0,2,8,1,4,0,4
"ENSMUSG00000083422",0,4,0,1,0,0,0,6,0,1,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,1,0,0,4,0,0,0,0
"ENSMUSG00000103448",0,1,0,0,2,0,1,4,0,2,0,2
"ENSMUSG00000100212",0,0,0,0,0,0,7,4,1,0,0,0
"ENSMUSG00000100648",0,0,0,0,2,0,3,6,0,0,0,0
"ENSMUSG00000088585",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960",3524,3520,3146,3786,3981,5322,4622,6337,4596,3226,6435,3579
"ENSMUSG00000077318",21,11,2,4,10,25,6,15,12,14,9,11
"ENSMUSG00000101827",16,8,9,15,14,20,18,45,11,28,35,30
"ENSMUSG00000103494",0,5,0,0,2,0,9,4,1,2,5,5
"ENSMUSG00000057715",155,476,158,475,483,1013,733,293,380,194,585,186
"ENSMUSG00000103825",32,124,18,85,31,128,62,38,30,48,76,75
"ENSMUSG00000099845",3,5,1,14,6,15,10,5,3,3,7,3
"ENSMUSG00000103561",4,21,2,20,5,28,22,18,4,3,18,7
"ENSMUSG00000101610",0,0,0,0,2,0,1,5,0,0,0,0
"ENSMUSG00000093864",2,0,2,0,0,0,1,1,0,0,0,2
"ENSMUSG00000098555",0,0,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000097628",0,3,0,0,1,0,2,1,0,0,0,1
"ENSMUSG00000098163",0,0,0,0,0,0,3,7,0,0,0,0
"ENSMUSG00000097171",1,3,0,0,1,0,0,14,0,2,2,1
"ENSMUSG00000101314",0,0,0,0,0,0,2,2,0,3,0,1
"ENSMUSG00000016918",4963,3837,14273,4502,5063,3800,4274,2179,5158,5699,4013,4976
"ENSMUSG00000025938",40,98,30,29,69,113,129,84,131,83,52,35
"ENSMUSG00000104518",0,3,0,0,0,0,1,6,0,1,0,0
"ENSMUSG00000069620",0,1,0,0,0,0,0,0,0,0,0,3
"ENSMUSG00000099498",1,2,0,0,4,0,1,5,0,0,0,5
"ENSMUSG00000042414",0,3,0,0,1,0,8,8,0,0,0,3
"ENSMUSG00000005886",2725,2707,4089,2487,3178,3117,3214,3304,3028,2324,3165,2950
"ENSMUSG00000103506",108,98,48,79,88,107,83,80,95,99,83,109
"ENSMUSG00000103495",66,26,12,47,39,31,25,38,27,40,36,35
"ENSMUSG00000099183",6,7,9,13,17,11,7,8,8,18,16,11
"ENSMUSG00000102639",27,14,8,27,17,35,19,41,22,13,18,20
"ENSMUSG00000104170",117,75,56,83,93,83,51,78,62,80,107,98
"ENSMUSG00000087782",46,10,11,29,25,17,31,36,27,22,34,23
"ENSMUSG00000103085",532,309,204,372,395,339,245,391,386,361,409,411
"ENSMUSG00000102664",137,105,75,92,136,131,102,124,115,105,119,127
"ENSMUSG00000101476",2,7,1,5,7,1,2,14,11,2,8,5
"ENSMUSG00000101171",0,0,0,0,0,0,1,2,0,0,0,2
"ENSMUSG00000025935",2394,3235,5880,2111,2765,2269,2701,2031,3946,2438,2852,1917
"ENSMUSG00000025937",700,1022,1319,1208,1391,1297,1235,658,911,874,1690,709
"ENSMUSG00000102982",60,44,28,62,37,60,42,52,49,42,57,64
"ENSMUSG00000067813",0,1,0,1,2,0,6,4,1,7,0,2
"ENSMUSG00000077368",0,0,0,0,0,0,1,2,0,0,0,0
"ENSMUSG00000097711",0,1,0,0,1,0,0,1,0,2,1,0
"ENSMUSG00000102166",0,1,0,0,0,0,3,11,0,2,0,0
"ENSMUSG00000089358",0,0,0,0,0,0,0,1,0,1,0,1
"ENSMUSG00000104209",0,5,1,0,4,0,3,6,0,0,0,1
"ENSMUSG00000025932",83,250,42,116,76,84,103,184,172,101,117,156
"ENSMUSG00000095853",0,4,0,2,1,0,0,4,0,1,1,3
"ENSMUSG00000102588",0,1,0,0,0,0,6,5,0,3,0,1
"ENSMUSG00000054493",38,41,11,19,34,23,25,49,65,37,39,8
"ENSMUSG00000025930",26,12,18,16,13,15,11,37,42,28,22,15
"ENSMUSG00000103492",9,9,1,11,6,5,2,22,12,17,11,7
"ENSMUSG00000081201",0,1,0,0,0,0,1,6,1,0,0,2
"ENSMUSG00000082193",0,2,2,1,1,3,1,5,3,1,1,1
"ENSMUSG00000032769",0,4,0,0,1,0,6,35,0,0,2,4
"ENSMUSG00000088159",0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000073737",0,0,2,1,0,1,0,4,0,0,0,0
"ENSMUSG00000092083",2,111,2,9,21,4,23,48,16,13,3,19
"ENSMUSG00000102937",0,7,0,7,3,0,1,3,1,4,1,2
"ENSMUSG00000104149",0,7,0,0,3,1,6,4,0,2,0,2
"ENSMUSG00000088829",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000101652",0,1,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000100814",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000025925",296,299,255,247,262,242,264,359,295,215,288,309
"ENSMUSG00000104379",33,99,26,25,23,30,29,43,26,30,36,36
"ENSMUSG00000032719",13,129,34,10,15,13,17,25,16,24,10,31
"ENSMUSG00000088943",0,5,0,0,0,0,1,3,0,0,1,1
"ENSMUSG00000100652",0,1,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000067795",4,35,3,1,0,2,4,6,2,4,0,6
"ENSMUSG00000043716",3337,4634,10188,4136,4571,4413,5459,5726,5082,3125,4791,4515
"ENSMUSG00000025921",387,679,551,294,380,311,427,366,399,325,394,283
"ENSMUSG00000104165",1,6,2,0,6,2,5,16,4,7,3,3
"ENSMUSG00000100868",14,16,3,13,11,11,21,24,6,14,20,14
"ENSMUSG00000025920",605,638,559,655,765,877,916,714,811,632,1101,507
"ENSMUSG00000089982",34,23,3,30,17,22,25,28,22,25,34,30
"ENSMUSG00000025939",974,1052,1535,1096,1063,1279,1250,821,1016,779,1294,882
"ENSMUSG00000102457",66,78,44,93,67,111,79,73,57,70,99,86
"ENSMUSG00000079658",515,726,1405,723,757,915,963,604,716,540,793,611
"ENSMUSG00000097744",1,2,0,2,0,1,2,15,0,8,0,2
"ENSMUSG00000100959",3,0,2,0,2,5,4,1,1,1,1,1
"ENSMUSG00000025940",288,579,564,527,646,735,936,525,547,364,1133,269
"ENSMUSG00000025779",65,55,76,58,74,56,67,52,81,77,75,38
"ENSMUSG00000100093",0,1,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000091020",0,5,0,1,5,1,4,3,4,2,0,2
"ENSMUSG00000101640",2,6,0,1,0,0,0,9,2,1,1,8
"ENSMUSG00000104133",2,0,0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000042686",179,250,282,112,151,196,189,125,141,113,136,190
"ENSMUSG00000100110",0,0,0,0,1,0,0,4,0,0,0,4
"ENSMUSG00000025777",12,44,29,8,21,14,15,26,10,17,24,19
"ENSMUSG00000099899",0,0,0,0,0,0,3,10,0,1,0,0
"ENSMUSG00000100272",0,0,0,0,1,0,2,6,0,0,0,0
"ENSMUSG00000100398",0,1,0,0,0,0,1,8,0,4,0,0
"ENSMUSG00000101589",0,3,0,0,7,1,7,6,1,1,1,2
"ENSMUSG00000102048",0,0,0,0,0,1,3,0,0,0,0,0
"ENSMUSG00000089534",0,1,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000067780",3001,1628,33994,8064,8877,5214,6145,971,2462,2955,1540,13330
"ENSMUSG00000100053",160,73,164,191,142,113,103,50,86,123,60,202
"ENSMUSG00000085125",96,152,78,88,118,81,93,81,90,111,113,129
"ENSMUSG00000025776",186,273,702,208,240,201,264,123,237,315,237,277
"ENSMUSG00000099895",13,17,7,19,10,3,16,4,8,25,8,15
"ENSMUSG00000100554",0,0,0,0,0,1,6,5,0,1,0,5
"ENSMUSG00000099473",0,0,0,0,0,0,0,3,0,7,0,0
"ENSMUSG00000099591",0,1,0,0,2,0,3,2,0,1,0,0
"ENSMUSG00000109887",0,5,0,1,0,1,8,10,0,0,0,1
"ENSMUSG00000102001",0,1,0,0,0,0,1,5,0,0,0,0
"ENSMUSG00000101717",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025774",1,3,0,0,2,0,13,8,0,1,0,3
"ENSMUSG00000070977",0,2,0,0,0,0,0,0,0,0,0,0
